x,BikeIsUsed(x),BikeIsUsed(x)_CI/2,BikeIsUsed(x)_Var,BikeIsUsed(x)_NSamples
0.0,1.0,0.0,0.0,20
20.0,1.0,0.0,0.0,20
40.0,1.0,0.0,0.0,20
60.0,0.925,0.04781085642676506,0.06995798319327734,120
80.0,0.90625,0.04565441426102448,0.08549528301886793,160
100.0,0.8125,0.04948361980004241,0.15298117154811716,240
120.0,0.7884615384615384,0.04973740656263167,0.16743391743391742,260
140.0,0.76,0.048408866517478506,0.18301003344481606,300
160.0,0.709375,0.04982613197972658,0.20680838557993733,320
180.0,0.6764705882352942,0.04980002783063002,0.21950373069581813,340
200.0,0.6583333333333333,0.04905972332937323,0.22555710306406684,360
220.0,0.6388888888888888,0.04968599143098154,0.2313525224388734,360
240.0,0.6052631578947368,0.04921012145984199,0.23955006249132063,380
260.0,0.5736842105263158,0.04978868356562455,0.2452159422302458,380
280.0,0.5605263157894737,0.049968110433489046,0.24698652964865989,380
300.0,0.53,0.04897207511367693,0.24972431077694235,400
320.0,0.51,0.049050650495316456,0.25052631578947365,400
340.0,0.4875,0.04904512977829112,0.25046992481203006,400
360.0,0.4725,0.048986203416511706,0.2498684210526316,400
380.0,0.455,0.04886136469700984,0.24859649122807018,400
400.0,0.4421052631578947,0.049999707159303304,0.24729898625190946,380
