10163,3417,213,46524
5968,1867,111,34626
9227,1338,93,29868
5113,1164,90,27891
16653,8049,235,73910
13400,5237,203,60532
17175,7600,240,72450
87303,261411,1393,407302
9296,2088,142,35202
11447,3188,154,46306
13748,4612,220,54752
47654,88926,881,242153
4805,1169,107,27484
79098,258034,1451,407502
58908,105444,942,261314
11541,4325,214,52326
17215,10200,298,83152
4646,944,90,25801
24378,11985,310,90378
6640,1450,133,29614
4696,927,94,23332
13442,7174,247,68192
12619,5935,208,61336
90958,257551,1485,407622
17766,8924,300,76018
8115,2527,156,41694
11442,4531,187,53924
9805,2620,162,42110
70131,190359,1248,350151
6333,2076,146,35306
74849,230297,1316,388083
12501,4353,185,54938
15524,9594,288,77790
5517,1049,90,25798
10065,2842,177,41928
11382,5272,236,57066
7216,2246,151,37596
20292,16216,320,103454
10804,2250,138,43198
14939,3836,203,52744
18233,7493,238,70984
11603,3343,188,45442
10610,3363,158,46024
13409,3945,178,54490
11152,2444,152,41008
11573,1599,134,31626
82934,207848,1414,368004
4380,944,105,24106
11112,3294,183,45646
9015,1326,116,31008
6212,900,96,26538
64613,102372,912,256170
18351,7299,303,59442
12097,2471,226,41680
16177,6568,340,62262
6526,1510,135,31120
9190,2794,204,40408
10319,2944,179,45722
13040,8823,235,55840
8893,7423,239,34631
16803,15348,317,49828
15992,14344,274,43344
13599,19065,401,67388
6048,4929,182,26632
7433,5160,206,28529
21170,31293,516,90426
8211,6277,239,29590
19301,21800,403,68998
68613,191786,1492,270530
4444,692,112,20759
13895,3933,225,54874
95787,189939,1518,348285
19267,7345,290,68614
15118,6065,310,62020
9303,2370,133,37770
12643,4291,218,51298
12294,4313,224,51720
11922,4238,232,53122
8924,2308,179,36316
10447,2034,154,36298
12897,1724,154,36306
84505,187010,1454,347809
6306,830,98,25526
6750,1014,125,26258
13285,5260,272,56240
6305,748,106,20905
5202,431,55,15622
3033,244,76,12290
11043,2050,169,35812
16863,4754,239,54766
6814,832,79,27098
10590,1403,138,34262
15030,2616,161,43848
18533,8005,315,72164
62447,96408,1010,248526
5210,408,50,18200
11881,1594,120,32444
5635,465,75,18324
10472,1779,151,32966
14083,3405,213,47660
4803,563,87,18390
9842,1769,136,33068
51135,95605,1091,248526
52292,94015,1122,247038
17495,4810,225,56486
