9517,5618,257,61987
73237,204696,1257,369650
12326,3027,132,45154
12747,9751,268,83636
4159,595,81,21485
15158,13108,298,95790
9893,1272,95,30597
4243,614,68,21442
8207,3120,150,47838
17386,6110,191,65856
7195,1459,116,31526
6568,1480,99,31540
15448,6176,208,65934
63300,180518,1109,347979
21074,19557,379,115400
12069,2481,117,41056
18763,4756,195,58420
15677,14194,316,99882
10726,2965,151,45734
11211,3198,138,47790
7322,817,86,23534
34426,64212,683,208562
31326,63663,643,207992
13893,2504,135,42314
37933,64611,689,208772
