x,BikeIsUsed(x),BikeIsUsed(x)_CI/2,BikeIsUsed(x)_Var,BikeIsUsed(x)_NSamples
0.0,1.0,0.0,0.0,20
20.0,1.0,0.0,0.0,20
40.0,0.9,0.09716692882352895,0.09230769230769234,40
60.0,0.8666666666666667,0.08855549084649303,0.11751412429378526,60
80.0,0.8333333333333334,0.0970853792507337,0.14124293785310738,60
100.0,0.8,0.08957725795703743,0.16202531645569618,80
120.0,0.7625,0.095299254616824,0.18338607594936704,80
140.0,0.725,0.09999381153994878,0.20189873417721524,80
160.0,0.73,0.08853497887228391,0.1990909090909091,100
180.0,0.69,0.09223101076688128,0.21606060606060606,100
200.0,0.67,0.09377043854850939,0.22333333333333333,100
220.0,0.65,0.09511790501980608,0.2297979797979798,100
240.0,0.62,0.09679640297381126,0.237979797979798,100
260.0,0.59,0.09808204449518403,0.2443434343434343,100
280.0,0.57,0.09872865747716716,0.24757575757575756,100
300.0,0.55,0.09921085159099381,0.25,100
320.0,0.54,0.09939107127012266,0.2509090909090909,100
340.0,0.53,0.09953101652678158,0.2516161616161616,100
360.0,0.51,0.09969071340689964,0.2524242424242424,100
380.0,0.47,0.09953101652678158,0.2516161616161616,100
400.0,0.45,0.09921085159099381,0.25,100
