x,BikeIsUsed(x),BikeIsUsed(x)_CI/2,BikeIsUsed(x)_Var,BikeIsUsed(x)_NSamples
0.0,1.0,0.0,0.0,20
20.0,1.0,0.0,0.0,20
40.0,0.925,0.08530975985939894,0.07115384615384612,40
60.0,0.9,0.09716692882352895,0.09230769230769234,40
80.0,0.9,0.09716692882352895,0.09230769230769234,40
100.0,0.8333333333333334,0.0970853792507337,0.14124293785310738,60
120.0,0.7625,0.095299254616824,0.18338607594936704,80
140.0,0.71,0.09048982517310569,0.20797979797979801,100
160.0,0.69,0.09223101076688128,0.21606060606060606,100
180.0,0.66,0.09446762612958251,0.22666666666666666,100
200.0,0.64,0.09572223123169761,0.23272727272727273,100
220.0,0.61,0.09726773364659316,0.2403030303030303,100
240.0,0.58,0.09842608656189575,0.24606060606060606,100
260.0,0.56,0.0989901375209534,0.24888888888888888,100
280.0,0.55,0.09921085159099381,0.25,100
300.0,0.53,0.09953101652678158,0.2516161616161616,100
320.0,0.52,0.09963085707403004,0.25212121212121213,100
340.0,0.47,0.09953101652678158,0.2516161616161616,100
360.0,0.47,0.09953101652678158,0.2516161616161616,100
380.0,0.47,0.09953101652678158,0.2516161616161616,100
400.0,0.47,0.09953101652678158,0.2516161616161616,100
