x,BikeIsUsed(x),BikeIsUsed(x)_CI/2,BikeIsUsed(x)_Var,BikeIsUsed(x)_NSamples
0.0,1.0,0.0,0.0,20
20.0,1.0,0.0,0.0,20
40.0,1.0,0.0,0.0,20
60.0,0.8333333333333334,0.0970853792507337,0.14124293785310738,60
80.0,0.825,0.08509102818949603,0.1462025316455696,80
100.0,0.8125,0.0874077807255806,0.15427215189873417,80
120.0,0.8,0.08957725795703743,0.16202531645569618,80
140.0,0.7875,0.09160992366297964,0.16946202531645574,80
160.0,0.68,0.09302528759654786,0.21979797979797977,100
180.0,0.64,0.09572223123169761,0.23272727272727273,100
200.0,0.62,0.09679640297381126,0.237979797979798,100
220.0,0.6,0.09769609314931786,0.24242424242424243,100
240.0,0.59,0.09808204449518403,0.2443434343434343,100
260.0,0.57,0.09872865747716716,0.24757575757575756,100
280.0,0.56,0.0989901375209534,0.24888888888888888,100
300.0,0.56,0.0989901375209534,0.24888888888888888,100
320.0,0.52,0.09963085707403004,0.25212121212121213,100
340.0,0.49,0.09969071340689964,0.2524242424242424,100
360.0,0.48,0.09963085707403004,0.25212121212121213,100
380.0,0.46,0.09939107127012266,0.2509090909090909,100
400.0,0.45,0.09921085159099381,0.25,100
