x,BikeIsUsed(x),BikeIsUsed(x)_CI/2,BikeIsUsed(x)_Var,BikeIsUsed(x)_NSamples
0.0,1.0,0.0,0.0,20
20.0,1.0,0.0,0.0,20
40.0,0.9,0.09716692882352895,0.09230769230769234,40
60.0,0.825,0.08509102818949603,0.1462025316455696,80
80.0,0.7875,0.09160992366297964,0.16946202531645574,80
100.0,0.7625,0.095299254616824,0.18338607594936704,80
120.0,0.7625,0.095299254616824,0.18338607594936704,80
140.0,0.7375,0.09853339323461394,0.19604430379746832,80
160.0,0.64,0.09572223123169761,0.23272727272727273,100
180.0,0.62,0.09679640297381126,0.237979797979798,100
200.0,0.6,0.09769609314931786,0.24242424242424243,100
220.0,0.57,0.09872865747716716,0.24757575757575756,100
240.0,0.53,0.09953101652678158,0.2516161616161616,100
260.0,0.49,0.09969071340689964,0.2524242424242424,100
280.0,0.47,0.09953101652678158,0.2516161616161616,100
300.0,0.47,0.09953101652678158,0.2516161616161616,100
320.0,0.46,0.09939107127012266,0.2509090909090909,100
340.0,0.44,0.0989901375209534,0.24888888888888888,100
360.0,0.39,0.09726773364659316,0.2403030303030303,100
380.0,0.38,0.09679640297381126,0.237979797979798,100
400.0,0.38,0.09679640297381126,0.237979797979798,100
