x,BikeIsUsed(x),BikeIsUsed(x)_CI/2,BikeIsUsed(x)_Var,BikeIsUsed(x)_NSamples
0.0,1.0,0.0,0.0,20
20.0,1.0,0.0,0.0,20
40.0,0.925,0.08530975985939894,0.07115384615384612,40
60.0,0.8333333333333334,0.0970853792507337,0.14124293785310738,60
80.0,0.7875,0.09160992366297964,0.16946202531645574,80
100.0,0.7375,0.09853339323461394,0.19604430379746832,80
120.0,0.725,0.09999381153994878,0.20189873417721524,80
140.0,0.67,0.09377043854850939,0.22333333333333333,100
160.0,0.65,0.09511790501980608,0.2297979797979798,100
180.0,0.61,0.09726773364659316,0.2403030303030303,100
200.0,0.59,0.09808204449518403,0.2443434343434343,100
220.0,0.57,0.09872865747716716,0.24757575757575756,100
240.0,0.54,0.09939107127012266,0.2509090909090909,100
260.0,0.53,0.09953101652678158,0.2516161616161616,100
280.0,0.52,0.09963085707403004,0.25212121212121213,100
300.0,0.52,0.09963085707403004,0.25212121212121213,100
320.0,0.51,0.09969071340689964,0.2524242424242424,100
340.0,0.49,0.09969071340689964,0.2524242424242424,100
360.0,0.49,0.09969071340689964,0.2524242424242424,100
380.0,0.45,0.09921085159099381,0.25,100
400.0,0.43,0.09872865747716718,0.2475757575757576,100
