126372,8506,736,58224
824611,221747,1695,407502
133643,5520,302,48032
129693,7374,409,56702
102199,9823,419,64712
1168239,1798043,11577,407782
162735,25750,763,36318
752081,749667,6252,275990
80915,11518,693,23674
234311,65690,1783,65910
198931,79094,2209,64570
82487,13088,755,22508
124551,24951,1128,32466
243758,49620,1429,56838
111495,22069,895,39289
1090547,1182708,10234,327218
111982,23357,784,32528
121821,22447,816,31564
69577,11210,636,24474
312085,129426,2131,86258
183508,38351,937,44058
230985,41513,1324,54530
161710,22567,1267,34994
122783,16407,845,25690
94180,29884,1345,35619
