240355,12012,881,69538
49705,3197,309,35832
62672,2328,213,29282
766015,201163,1521,388100
309537,12622,449,80706
84014,5671,322,45534
133029,9113,275,61830
233017,6055,228,45712
71451,1329,150,22126
260630,80072,1014,102667
178568,86645,2011,64398
1101463,898092,7901,295068
327651,169775,3574,108578
787588,1520699,10695,407622
173356,28867,1267,32350
172199,47075,1252,54816
326902,123460,2437,88856
70589,10793,908,19544
147055,43132,1455,57778
188610,78220,1959,62632
144297,39355,1040,45416
681250,353445,4450,184726
193034,101253,2138,90839
882356,1536351,11565,407502
750236,378052,4516,176772
196239,72237,1774,62614
110277,23186,773,38144
329696,107339,2229,82170
119181,23558,613,40718
134082,41183,1103,43132
905943,906862,7921,292418
129374,33745,1375,37700
118780,22715,1095,39658
153536,29566,1160,34694
86260,12768,667,25498
180073,52765,1542,49823
187414,37302,907,56630
220896,59963,1392,54325
129078,32528,1422,43464
182842,28895,1236,34870
135635,24810,1453,39868
823776,1211498,10022,348115
169739,74439,1642,65999
756165,1115539,8254,348557
209843,28473,1278,49474
266845,46048,1476,47654
116985,27980,1011,32190
213360,48800,1189,48782
139043,19881,933,37280
815478,990375,8895,308901
88533,9804,413,17944
147317,32688,981,52097
168861,58129,1625,51933
91774,16966,682,30124
209586,85688,1654,71366
113235,22497,873,28365
140387,22506,1296,34374
712035,1247425,9510,347537
71600,9378,453,35085
134458,22293,1100,29242
157201,40159,1038,63050
123501,26796,1128,31933
96546,14107,448,35394
135704,60865,1865,51800
306897,47214,1167,50530
724768,876409,7369,289154
769659,272077,3918,135112
121166,32483,1574,36086
617255,1013425,7318,326818
282536,81366,1919,66912
228602,44858,1764,58636
129512,33781,1148,38670
188871,41214,1386,51960
282856,60703,1990,55436
103701,11428,522,29674
216094,72515,2308,69862
191690,53579,1955,51138
353190,105864,2002,89564
83114,11577,565,18168
134251,12850,585,43702
