10972,1978,94,80396
2313,675,37,34498
31223,47097,332,406982
8109,1961,51,38534
14480,2478,48,80692
4295,1507,35,37488
5622,1186,39,39817
10902,2315,45,84730
5866,1502,57,38292
3441,585,23,30990
4008,534,23,23203
4270,713,30,35210
6239,1411,35,54680
18907,32240,205,350715
5737,1701,44,43289
7839,2047,42,61045
7697,1618,46,38158
5165,1015,35,39542
9745,2465,68,62618
21370,27788,210,330418
5201,923,27,27767
9082,986,39,50508
5970,1164,32,56028
8090,1366,35,38288
24782,38793,279,387323
29193,42775,312,387817
7055,1827,36,43140
4589,1341,42,57637
2853,832,25,36440
5274,1283,42,50806
6402,779,24,37828
3227,463,23,31977
35464,40007,267,387171
8537,1938,57,56100
11631,3146,54,70696
4287,1630,67,45468
9612,2273,63,53380
7026,1911,35,51147
4086,769,26,35800
7946,1612,40,40826
21481,32719,247,368112
3992,1118,43,50736
5592,1539,40,50344
6616,1974,67,58884
9258,1081,26,39404
11732,4563,73,106524
4982,1401,53,43656
5684,1256,31,36388
6704,1297,36,48782
33563,38003,296,367608
6987,2254,55,50976
7760,1364,47,39878
6903,1425,38,37668
29415,34497,238,368148
3015,790,53,25752
7954,1666,45,65216
8317,1233,28,62720
23876,37008,290,367896
2158,644,24,15966
5308,1516,52,39588
7931,1202,37,45394
8513,2861,59,75078
20423,12694,146,201210
10164,4002,88,92326
2783,656,24,17200
6237,994,31,39090
19177,22289,226,272821
5669,3017,76,57514
4514,827,26,24982
3258,1024,27,51872
4969,1082,29,25636
3376,398,29,32720
2075,305,15,21522
3876,802,30,32062
6398,1548,36,40059
18155,27941,188,327682
2866,511,27,25368
2353,581,11,17490
7868,1241,29,58484
4055,945,36,51675
6089,1130,43,44968
10363,1692,47,56620
10045,2412,55,66842
8584,1665,48,60256
8298,1007,40,35358
10749,1368,43,59108
1711,406,11,24510
6277,1083,30,41997
7293,1567,41,51924
3772,588,24,23549
9183,1876,37,43954
5155,1878,46,50718
9280,2465,52,53120
4029,1169,40,26122
5677,1185,28,27950
4640,443,21,18591
4006,1323,32,30108
11216,1953,42,56550
3083,677,25,37772
9386,709,16,39248
